State,County,County Type,Issuer Name,Metal Level,Plan Type,Rating Area,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Couple 21  ,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,"Couple+1 child, Age 21","Couple+1 child, Age 30","Couple+1 child, Age 40","Couple+1 child, Age 50","Couple+2 children, Age 21","Couple+2 children, Age 30","Couple+2 children, Age 40","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Medical Deductible - individual - standard,Drug Deductible - individual - standard,Medical Deductible -family - standard,Drug Deductible - family - standard,Medical Maximum Out Of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Unemployment numerator,Unemployment denominator,Uninsured adults numerator,Uninsured adults denominator,Uninsured children numerator,Uninsured children denominator,Primary care physicians numerator,Primary care physicians denominator,Per capita income,Median household income,Median family income,Population
IL,ADAMS,Urban,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 10,108.31,170.57,178.76,193.6,217.99,304.64,462.93,341.14,387.2,435.98,609.28,925.86,449.45,495.51,544.29,717.58,557.76,603.81,652.6,825.9,666.06,712.13,760.91,934.21,278.88,301.9,326.3,412.95,387.19,410.22,434.61,521.26,495.5,518.53,542.92,629.56,5000,0,12700,0,6250,12700,1277,32893,2404,37477,362,15373,59,66234,24308.0,43824.0,55791.0,67103.0
IL,ADAMS,Urban,Coventry Health Care,Bronze,PPO,Rating Area 10,110.18,173.51,181.83,196.93,221.74,309.88,470.89,347.02,393.86,443.48,619.76,941.78,457.2,504.04,553.66,729.94,567.38,614.22,663.84,840.12,677.56,724.4,774.02,950.3,283.69,307.11,331.92,420.06,393.87,417.29,442.1,530.24,504.05,527.47,552.28,640.42,5600,0,11200,0,6350,12700,1277,32893,2404,37477,362,15373,59,66234,24308.0,43824.0,55791.0,67103.0
IL,ADAMS,Urban,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 10,117.13,184.45,193.31,209.36,235.73,329.44,500.61,368.9,418.72,471.46,658.88,1001.22,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,3150,0,6300,0,6350,12700,1277,32893,2404,37477,362,15373,59,66234,24308.0,43824.0,55791.0,67103.0
IL,ADAMS,Urban,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 10,137.13,215.96,226.32,245.11,275.99,385.7,586.1,431.92,490.22,551.98,771.4,1172.2,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,4000,0,8000,0,6250,12500,1277,32893,2404,37477,362,15373,59,66234,24308.0,43824.0,55791.0,67103.0
IL,ALEXANDER,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 13,110.35,173.78,182.12,197.24,222.09,310.38,471.65,347.56,394.48,444.18,620.76,943.3,457.9,504.83,554.53,731.11,568.26,615.18,664.88,841.46,678.6,725.53,775.23,951.81,284.13,307.59,332.44,420.73,394.48,417.94,442.78,531.07,504.82,528.29,553.14,641.42,5000,0,12700,0,6250,12700,171,2153,285,3456,29,1489,1,6315,15858.0,28833.0,44699.0,8238.0
IL,ALEXANDER,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 13,125.76,198.05,207.55,224.78,253.1,353.71,537.5,396.1,449.56,506.2,707.42,1075.0,521.86,575.32,631.96,833.18,647.62,701.08,757.72,958.93,773.38,826.84,883.48,1084.7,323.81,350.54,378.86,479.46,449.57,476.3,504.62,605.23,575.33,602.06,630.38,730.99,3150,0,6300,0,6350,12700,171,2153,285,3456,29,1489,1,6315,15858.0,28833.0,44699.0,8238.0
IL,ALEXANDER,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 13,137.83,217.05,227.47,246.35,277.39,387.65,589.07,434.1,492.7,554.78,775.3,1178.14,571.93,630.53,692.61,913.13,709.76,768.36,830.44,1050.96,847.59,906.19,968.27,1188.79,354.88,384.18,415.22,525.48,492.71,522.01,553.04,663.31,630.54,659.84,690.88,801.14,4000,0,8000,0,6250,12500,171,2153,285,3456,29,1489,1,6315,15858.0,28833.0,44699.0,8238.0
IL,BOND,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 11,100.71,158.6,166.21,180.01,202.69,283.25,430.43,317.2,360.02,405.38,566.5,860.86,417.9,460.72,506.09,667.21,518.62,561.43,606.79,767.92,619.32,662.15,707.51,868.63,259.31,280.71,303.39,383.96,360.02,381.42,404.11,484.66,460.73,482.14,504.82,585.38,5000,0,12700,0,6250,12700,347,7929,708,8946,105,3368,12,16948,24341.0,51946.0,60786.0,17768.0
IL,BOND,Rural,Coventry Health Care,Bronze,PPO,Rating Area 11,131.91,207.74,217.72,235.79,265.5,371.03,563.82,415.48,471.58,531.0,742.06,1127.64,547.4,603.5,662.92,873.97,679.31,735.42,794.83,1005.89,811.24,867.33,926.76,1137.82,339.65,367.71,397.41,502.94,471.58,499.63,529.33,634.86,603.5,631.54,661.26,766.79,5600,0,11200,0,6350,12700,347,7929,708,8946,105,3368,12,16948,24341.0,51946.0,60786.0,17768.0
IL,BOND,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 11,125.76,198.05,207.55,224.78,253.1,353.71,537.5,396.1,449.56,506.2,707.42,1075.0,521.86,575.32,631.96,833.18,647.62,701.08,757.72,958.93,773.38,826.84,883.48,1084.7,323.81,350.54,378.86,479.46,449.57,476.3,504.62,605.23,575.33,602.06,630.38,730.99,3150,0,6300,0,6350,12700,347,7929,708,8946,105,3368,12,16948,24341.0,51946.0,60786.0,17768.0
IL,BOND,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 11,116.3,183.15,191.94,207.87,234.06,327.1,497.05,366.3,415.74,468.12,654.2,994.1,482.6,532.04,584.41,770.5,598.9,648.34,700.72,886.8,715.2,764.64,817.02,1003.1,299.45,324.17,350.36,443.4,415.75,440.47,466.65,559.7,532.04,556.77,582.96,676.0,4000,0,8000,0,6250,12500,347,7929,708,8946,105,3368,12,16948,24341.0,51946.0,60786.0,17768.0
IL,BOONE,Urban,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 5,109.92,173.1,181.41,196.47,221.22,309.16,469.8,346.2,392.94,442.44,618.32,939.6,456.12,502.86,552.36,728.24,566.04,612.78,662.28,838.16,675.96,722.7,772.2,948.08,283.02,306.39,331.14,419.08,392.94,416.31,441.06,529.0,502.86,526.23,550.98,638.92,5000,0,12700,0,6250,12700,1523,26473,2952,31805,480,14109,30,53513,26105.0,61210.0,69380.0,54165.0
IL,BOONE,Urban,Coventry Health Care,Bronze,PPO,Rating Area 5,122.48,192.89,202.14,218.93,246.51,344.49,523.49,385.78,437.86,493.02,688.98,1046.98,508.26,560.34,615.5,811.46,630.74,682.82,737.98,933.94,753.22,805.3,860.46,1056.42,315.37,341.41,368.99,466.97,437.85,463.89,491.47,589.45,560.32,586.37,613.95,711.93,5600,0,11200,0,6350,12700,1523,26473,2952,31805,480,14109,30,53513,26105.0,61210.0,69380.0,54165.0
IL,BOONE,Urban,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 5,125.76,198.05,207.55,224.78,253.1,353.71,537.5,396.1,449.56,506.2,707.42,1075.0,521.86,575.32,631.96,833.18,647.62,701.08,757.72,958.93,773.38,826.84,883.48,1084.7,323.81,350.54,378.86,479.46,449.57,476.3,504.62,605.23,575.33,602.06,630.38,730.99,3150,0,6300,0,6350,12700,1523,26473,2952,31805,480,14109,30,53513,26105.0,61210.0,69380.0,54165.0
IL,BOONE,Urban,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 5,137.81,217.02,227.44,246.32,277.36,387.6,589.0,434.04,492.64,554.72,775.2,1178.0,571.85,630.45,692.53,913.01,709.66,768.26,830.34,1050.82,847.47,906.06,968.15,1188.63,354.83,384.13,415.17,525.41,492.64,521.94,552.98,663.22,630.45,659.75,690.79,801.03,4000,0,8000,0,6250,12500,1523,26473,2952,31805,480,14109,30,53513,26105.0,61210.0,69380.0,54165.0
IL,BROWN,Urban,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 10,108.31,170.57,178.76,193.6,217.99,304.64,462.93,341.14,387.2,435.98,609.28,925.86,449.45,495.51,544.29,717.58,557.76,603.81,652.6,825.9,666.06,712.13,760.91,934.21,278.88,301.9,326.3,412.95,387.19,410.22,434.61,521.26,495.5,518.53,542.92,629.56,5000,0,12700,0,6250,12700,78,2896,120,2733,17,1051,1,6716,17133.0,38696.0,50341.0,6937.0
IL,BROWN,Urban,Coventry Health Care,Bronze,PPO,Rating Area 10,110.18,173.51,181.83,196.93,221.74,309.88,470.89,347.02,393.86,443.48,619.76,941.78,457.2,504.04,553.66,729.94,567.38,614.22,663.84,840.12,677.56,724.4,774.02,950.3,283.69,307.11,331.92,420.06,393.87,417.29,442.1,530.24,504.05,527.47,552.28,640.42,5600,0,11200,0,6350,12700,78,2896,120,2733,17,1051,1,6716,17133.0,38696.0,50341.0,6937.0
IL,BROWN,Urban,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 10,117.13,184.45,193.31,209.36,235.73,329.44,500.61,368.9,418.72,471.46,658.88,1001.22,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,3150,0,6300,0,6350,12700,78,2896,120,2733,17,1051,1,6716,17133.0,38696.0,50341.0,6937.0
IL,BROWN,Urban,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 10,137.13,215.96,226.32,245.11,275.99,385.7,586.1,431.92,490.22,551.98,771.4,1172.2,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,4000,0,8000,0,6250,12500,78,2896,120,2733,17,1051,1,6716,17133.0,38696.0,50341.0,6937.0
IL,BUREAU,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 6,97.9,154.16,161.57,174.98,197.03,275.33,418.41,308.33,349.96,394.06,550.67,836.82,406.24,447.86,491.96,648.57,504.14,545.76,589.86,746.48,602.04,643.66,687.76,844.38,252.07,272.88,294.93,373.24,349.97,370.78,392.83,471.14,447.87,468.68,490.73,569.04,5000,0,12700,0,6250,12700,871,17390,1391,18919,210,7464,16,33243,24103.0,45692.0,55217.0,34978.0
IL,BUREAU,Rural,Coventry Health Care,Bronze,PPO,Rating Area 6,131.07,206.42,216.32,234.28,263.8,368.66,560.21,412.84,468.56,527.6,737.32,1120.42,543.91,599.63,658.67,868.39,674.98,730.7,789.74,999.46,806.05,861.77,920.81,1130.53,337.49,365.35,394.87,499.73,468.55,496.41,525.94,630.79,599.63,627.49,657.01,761.87,5600,0,11200,0,6350,12700,871,17390,1391,18919,210,7464,16,33243,24103.0,45692.0,55217.0,34978.0
IL,BUREAU,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 6,131.91,207.75,217.73,235.8,265.51,371.05,563.85,415.5,471.6,531.02,742.1,1127.7,547.41,603.52,662.93,874.02,679.33,735.44,794.85,1005.94,811.26,867.36,926.78,1137.86,339.66,367.72,397.42,502.97,471.59,499.64,529.34,634.89,603.51,631.55,661.27,766.81,3150,0,6300,0,6350,12700,871,17390,1391,18919,210,7464,16,33243,24103.0,45692.0,55217.0,34978.0
IL,BUREAU,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 6,113.55,178.81,187.4,202.95,228.52,319.36,485.29,357.62,405.9,457.04,638.72,970.58,471.17,519.44,570.59,752.27,584.72,633.0,684.14,865.82,698.27,746.55,797.69,979.37,292.36,316.5,342.07,432.91,405.9,430.04,455.62,546.46,519.46,543.59,569.16,660.01,4000,0,8000,0,6250,12500,871,17390,1391,18919,210,7464,16,33243,24103.0,45692.0,55217.0,34978.0
IL,CALHOUN,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 11,100.71,158.6,166.21,180.01,202.69,283.25,430.43,317.2,360.02,405.38,566.5,860.86,417.9,460.72,506.09,667.21,518.62,561.43,606.79,767.92,619.32,662.15,707.51,868.63,259.31,280.71,303.39,383.96,360.02,381.42,404.11,484.66,460.73,482.14,504.82,585.38,5000,0,12700,0,6250,12700,125,2340,194,2745,33,1038,2,4833,23109.0,44891.0,57627.0,5089.0
IL,CALHOUN,Rural,Coventry Health Care,Bronze,PPO,Rating Area 11,131.91,207.74,217.72,235.79,265.5,371.03,563.82,415.48,471.58,531.0,742.06,1127.64,547.4,603.5,662.92,873.97,679.31,735.42,794.83,1005.89,811.24,867.33,926.76,1137.82,339.65,367.71,397.41,502.94,471.58,499.63,529.33,634.86,603.5,631.54,661.26,766.79,5600,0,11200,0,6350,12700,125,2340,194,2745,33,1038,2,4833,23109.0,44891.0,57627.0,5089.0
IL,CALHOUN,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 11,125.76,198.05,207.55,224.78,253.1,353.71,537.5,396.1,449.56,506.2,707.42,1075.0,521.86,575.32,631.96,833.18,647.62,701.08,757.72,958.93,773.38,826.84,883.48,1084.7,323.81,350.54,378.86,479.46,449.57,476.3,504.62,605.23,575.33,602.06,630.38,730.99,3150,0,6300,0,6350,12700,125,2340,194,2745,33,1038,2,4833,23109.0,44891.0,57627.0,5089.0
IL,CALHOUN,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 11,116.3,183.15,191.94,207.87,234.06,327.1,497.05,366.3,415.74,468.12,654.2,994.1,482.6,532.04,584.41,770.5,598.9,648.34,700.72,886.8,715.2,764.64,817.02,1003.1,299.45,324.17,350.36,443.4,415.75,440.47,466.65,559.7,532.04,556.77,582.96,676.0,4000,0,8000,0,6250,12500,125,2340,194,2745,33,1038,2,4833,23109.0,44891.0,57627.0,5089.0
IL,CARROLL,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 5,109.92,173.1,181.41,196.47,221.22,309.16,469.8,346.2,392.94,442.44,618.32,939.6,456.12,502.86,552.36,728.24,566.04,612.78,662.28,838.16,675.96,722.7,772.2,948.08,283.02,306.39,331.14,419.08,392.94,416.31,441.06,529.0,502.86,526.23,550.98,638.92,5000,0,12700,0,6250,12700,335,7525,676,8028,92,2972,5,14518,25914.0,44805.0,55341.0,15387.0
IL,CARROLL,Rural,Coventry Health Care,Bronze,PPO,Rating Area 5,122.48,192.89,202.14,218.93,246.51,344.49,523.49,385.78,437.86,493.02,688.98,1046.98,508.26,560.34,615.5,811.46,630.74,682.82,737.98,933.94,753.22,805.3,860.46,1056.42,315.37,341.41,368.99,466.97,437.85,463.89,491.47,589.45,560.32,586.37,613.95,711.93,5600,0,11200,0,6350,12700,335,7525,676,8028,92,2972,5,14518,25914.0,44805.0,55341.0,15387.0
IL,CARROLL,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 5,125.76,198.05,207.55,224.78,253.1,353.71,537.5,396.1,449.56,506.2,707.42,1075.0,521.86,575.32,631.96,833.18,647.62,701.08,757.72,958.93,773.38,826.84,883.48,1084.7,323.81,350.54,378.86,479.46,449.57,476.3,504.62,605.23,575.33,602.06,630.38,730.99,3150,0,6300,0,6350,12700,335,7525,676,8028,92,2972,5,14518,25914.0,44805.0,55341.0,15387.0
IL,CARROLL,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 5,137.81,217.02,227.44,246.32,277.36,387.6,589.0,434.04,492.64,554.72,775.2,1178.0,571.85,630.45,692.53,913.01,709.66,768.26,830.34,1050.82,847.47,906.06,968.15,1188.63,354.83,384.13,415.17,525.41,492.64,521.94,552.98,663.22,630.45,659.75,690.79,801.03,4000,0,8000,0,6250,12500,335,7525,676,8028,92,2972,5,14518,25914.0,44805.0,55341.0,15387.0
IL,CASS,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 10,108.31,170.57,178.76,193.6,217.99,304.64,462.93,341.14,387.2,435.98,609.28,925.86,449.45,495.51,544.29,717.58,557.76,603.81,652.6,825.9,666.06,712.13,760.91,934.21,278.88,301.9,326.3,412.95,387.19,410.22,434.61,521.26,495.5,518.53,542.92,629.56,5000,0,12700,0,6250,12700,277,6162,767,7331,118,3092,0,12505,19825.0,41544.0,51624.0,13642.0
IL,CASS,Rural,Coventry Health Care,Bronze,PPO,Rating Area 10,110.18,173.51,181.83,196.93,221.74,309.88,470.89,347.02,393.86,443.48,619.76,941.78,457.2,504.04,553.66,729.94,567.38,614.22,663.84,840.12,677.56,724.4,774.02,950.3,283.69,307.11,331.92,420.06,393.87,417.29,442.1,530.24,504.05,527.47,552.28,640.42,5600,0,11200,0,6350,12700,277,6162,767,7331,118,3092,0,12505,19825.0,41544.0,51624.0,13642.0
IL,CASS,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 10,117.13,184.45,193.31,209.36,235.73,329.44,500.61,368.9,418.72,471.46,658.88,1001.22,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,3150,0,6300,0,6350,12700,277,6162,767,7331,118,3092,0,12505,19825.0,41544.0,51624.0,13642.0
